"","Clean","Contaminated"
"Pearson",0.953,-0.81
"CCC",0.947,-0.672
"rCCC.x",0.977,0.974
"L1-CCC",0.791,-0.193
"Bayes-CCC",0.965,-0.23
"Absolute",0.812,0.267
"Absolute 1.5",0.906,-0.147
"Winsor",0.686,0.524
"Huber",0.905,-0.223
